localizacao;DataHora;CF;CC;link;Dia;Hora;Valor
Brew've Been Served;06/01/2014 07:28;L8566;C4795;both;6 - Segunda-feira;7;11
Hallowed Grounds;06/01/2014 07:34;L6544;C7108;credit;6 - Segunda-feira;7;52
Brew've Been Served;06/01/2014 07:35;L8148;C6816;both;6 - Segunda-feira;7;8
Hallowed Grounds;06/01/2014 07:36;L5553;C9617;both;6 - Segunda-feira;7;17
Brew've Been Served;06/01/2014 07:37;L3800;C7384;both;6 - Segunda-feira;7;4
Brew've Been Served;06/01/2014 07:38;L2247;C5368;both;6 - Segunda-feira;7;4
Coffee Cameleon;06/01/2014 07:42;L1682;C7253;credit;6 - Segunda-feira;7;29
Brew've Been Served;06/01/2014 07:43;L9406;C4948;both;6 - Segunda-feira;7;10
Brew've Been Served;06/01/2014 07:43;L7291;C9683;both;6 - Segunda-feira;7;17
Hallowed Grounds;06/01/2014 07:47;L8328;C8129;both;6 - Segunda-feira;7;17
Hallowed Grounds;06/01/2014 07:48;L7814;C3492;both;6 - Segunda-feira;7;11
Coffee Cameleon;06/01/2014 07:49;L3295;C5921;both;6 - Segunda-feira;7;8
Brew've Been Served;06/01/2014 07:52;L3259;C9405;credit;6 - Segunda-feira;7;33
Hallowed Grounds;06/01/2014 07:54;L6119;C7889;credit;6 - Segunda-feira;7;17
Coffee Cameleon;06/01/2014 07:54;L9637;C2142;both;6 - Segunda-feira;7;12
Hallowed Grounds;06/01/2014 07:54;L1107;C2681;credit;6 - Segunda-feira;7;33
Hallowed Grounds;06/01/2014 07:55;L5777;C9551;both;6 - Segunda-feira;7;8
Brew've Been Served;06/01/2014 07:55;L2490;C3484;both;6 - Segunda-feira;7;4
Brew've Been Served;06/01/2014 07:59;L5259;C7819;both;6 - Segunda-feira;7;9
Brew've Been Served;06/01/2014 08:00;L4034;C5407;both;6 - Segunda-feira;8;4
Hallowed Grounds;06/01/2014 08:00;L6267;C6899;credit;6 - Segunda-feira;8;10
Hallowed Grounds;06/01/2014 08:01;L4424;C1874;both;6 - Segunda-feira;8;10
Brew've Been Served;06/01/2014 08:06;L1485;C3853;both;6 - Segunda-feira;8;18
Brew've Been Served;06/01/2014 08:06;L2169;C4434;both;6 - Segunda-feira;8;16
Brew've Been Served;06/01/2014 08:07;L9363;C6901;both;6 - Segunda-feira;8;6
Coffee Cameleon;06/01/2014 08:14;L9018;C2418;credit;6 - Segunda-feira;8;3
Brew've Been Served;06/01/2014 08:16;L3288;C1286;both;6 - Segunda-feira;8;15
Brew've Been Served;06/01/2014 08:16;L6110;C8411;both;6 - Segunda-feira;8;11
Brew've Been Served;06/01/2014 08:17;L2343;C8202;both;6 - Segunda-feira;8;15
Abila Airport;06/01/2014 08:23;L4063;C9220;both;6 - Segunda-feira;8;4540
Kronos Pipe and Irrigation;06/01/2014 09:06;L4063;C9220;both;6 - Segunda-feira;9;242
Nationwide Refinery;06/01/2014 10:02;L9633;C9735;both;6 - Segunda-feira;10;762
Maximum Iron and Steel;06/01/2014 10:18;L4063;C9220;both;6 - Segunda-feira;10;2860
Stewart and Sons Fabrication;06/01/2014 11:33;L9633;C9735;both;6 - Segunda-feira;11;2145
Carlyle Chemical Inc.;06/01/2014 11:57;L4063;C9220;both;6 - Segunda-feira;11;3960
